stt,en,vi,ipa
855,I empty the garbage can.,Tôi đổ hết rác.,i /ˈɛmpti/ /ði/ /ˈɡɑːbɪd͡ʒ/ /ˈkæn/
856,I turn the can upside down.,Tôi dốc ngược thùng rác.,i /tɜːn/ /ði/ /ˈkæn/ /ˈʌpˌsaɪd/ /daʊn/
857,The trash comes out.,Rác rơi hết ra ngoài.,/ði/ /tɹæʃ/ /kʌmz/ /æɔt/
858,I untie the apron strings.,Tôi tháo tạp dề.,i /ʌnˈtaɪ/ /ði/ /ˈeɪ.pɹən/ /stɹɪŋz/
859,I finish cleaning.,Tôi đã dọn dẹp xong.,i /ˈfɪnɪʃ/ /ˈkliːnɪŋ/
860,I’m tired.,Tôi rất mệt.,i m /taɪəd/
861,I take off the apron.,Tôi bỏ tạp dề ra.,i /teɪk/ /ɔːf/ /ði/ /ˈeɪ.pɹən/
862,I fold it.,Tôi gập nó.,i fold it
863,What shall I do next?,Tôi nên làm gì tiếp theo đây?,what shall i do next
864,I lie down on the sofa.,Tôi nằm lên ghế sofa.,i lie down on the sofa
865,I take a rest.,Tôi nghỉ ngơi.,i take a rest
866,I close my eyes.,Tôi nhắm mắt lại.,i close my eyes
867,I take off the tub covers.,Tôi mở bồn tắm ra.,i take off the tub covers
868,The steam goes up.,Hơi nước bốc lên.,the steam goes up
869,I put the covers aside.,Tôi đề nắp bồn sang bên cạnh.,i put the covers aside
870,I scoop up the hot water with the washbowl.,Tôi múc nước nóng bằng một cái gáo.,i scoop up the hot water with the washbowl
871,I stir the hot water.,Tôi khuấy nước nóng.,i stir the hot water
872,I pour the water on the body.,Tôi dội nước lên người.,i /pɔː/ /ði/ /ˈwoːtə/ /ɒn/ /ði/ /ˈbɒdi/
873,I put soap on a washcloth.,Tôi cho xà bông vào khăn tắm.,i /pʊt/ /səʊp/ /ɒn/ /æɪ/ /ˈwɒʃklɒθ/
874,It lathers very well.,Nó có rất nhiều bọt.,/ɪt/ lathers /ˈvɛɹi/ /wɛl/
875,I wash my body.,Tôi tắm.,i /wɑʃ/ /mi/ /ˈbɒdi/
876,I scrub my legs.,Tôi kì chân.,i /skɹʌb/ /mi/ /lɛɡz/
877,I’m washing my right knee.,Tôi rửa chân phải.,i m /ˈwɒʃɪŋ/ /mi/ /ˈɹaɪt/ /niː/
878,I rinse out my body.,Tôi tắm rửa thật sạch.,i rinse out my body
879,I soak in the bathtub.,Tôi ngâm mình vào bồn tắm.,i soak in the bathtub
880,I’m dozing off in the bathtub.,Tôi ngủ gật trong bồn tắm.,i m dozing off in the bathtub
881,The hot water feels good.,Nước nóng thật dễ chịu,the hot water feels good
882,I put back the tub covers.,Tôi đậy nắp bồn tắm lại.,i put back the tub covers
883,I wrap a bath towel around my body.,Tôi quấn khăn quanh người.,i wrap a bath towel around my body
884,I get out of the bathroom.,Tôi đi ra khỏi phòng tắm.,i get out of the bathroom
885,I turn on the lights.,Tôi bật điện.,i turn on the lights
886,I push the switch.,Tôi ấn công tắc.,i push the switch
887,I stand in front of the washstand.,Tôi đứng trước bồn rửa mặt.,i stand /ɪn/ /fɹʌnt/ /ɔv/ /ði/ washstand
888,I reach for my toothbrush.,Tôi lấy bàn chải đánh răng.,i /ɹiːt͡ʃ/ for /mi/ /ˈtuːθbɹʌʃ/
889,Two bottles of lotion are on the shelf.,Hai lọ sữa rửa mặt và gội đầu đang ở trên giá.,/tuː/ /ˈbɒtl̩z/ /ɔv/ /ˈləʊʃən/ /ɛə/ /ɒn/ /ði/ /ʃɛlf/
890,I always put my toothbrush in my cup.,Tôi luôn để bàn chải đánh răng vào cốc của mình.,i /ˈɔː(l).weɪz/ /pʊt/ /mi/ /ˈtuːθbɹʌʃ/ /ɪn/ /mi/ /kʌp/
891,I put water in the cup.,Tôi cho nước vào cốc.,i /pʊt/ /ˈwoːtə/ in the cup
892,I turn on the faucet.,Tôi mở vòi nước.,i turn on the faucet
893,I fill the cup with water.,Tôi đổ đầy nước vào cốc.,i fill the cup with water
894,I squeeze out the toothpaste on my toothbrush.,Tôi bóp kem đánh răng lên bàn chải.,i squeeze out the toothpaste on my toothbrush
895,The paste comes out from the tube.,Kem đánh răng đi ra từ tuýp kem.,the paste comes out from the tube
896,I brush my teeth.,Tôi đánh răng.,i brush my teeth
897,I brush my teeth after meals.,Tôi đánh răng sau mỗi bữa ăn.,i brush my teeth after meals
898,I have no cavities.,Tôi không có lỗ răng sâu nào cả.,i have no cavities
